ticket_id,resume,description,date,departement,Category,Sub Category
JIRA-0105,Souris sans fil qui ne répond plus,La souris Bluetooth se déconnecte régulièrement. Nécessite un redémarrage du PC.,2025-04-21 11:22:18,Marketing,Poste de travail,Souris
JIRA-0309,Ordinateur portable très lent au démarrage,Mon PC met plus de 10 minutes à démarrer complètement. Performances dégradées.,2025-04-21 11:22:18,Direction,Poste de travail,Performance poste
JIRA-0430,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-04-21 11:22:18,Ressources Humaines,Impression & Numérisation,Réglage recto-verso
JIRA-0050,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-04-22 11:22:18,Marketing,Réseau & Connectivité,Dossier partagé / Comptabilité
JIRA-0251,Accès refusé au dossier partagé Comptabilité,Message 'Vous n'avez pas les autorisations nécessaires' lors de l'accès au dossier \\COMPTA\Factures.,2025-04-22 11:22:18,Juridique,Réseau & Connectivité,Dossier partagé / Comptabilité
JIRA-0198,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-04-23 11:22:18,IT,Réseau & Connectivité,VPN
JIRA-0474,Application mobile professionnelle qui crash,L'application mobile de gestion des sinistres se ferme automatiquement au démarrage.,2025-04-23 11:22:18,Comptabilité,Applications métier,Application mobile métier
JIRA-0047,Mot de passe expiré - demande de réinitialisation,Mon mot de passe Active Directory a expiré et je n'arrive pas à le réinitialiser via le portail self-service.,2025-04-24 11:22:18,Sinistres,Accès & Identité,Réinitialisation mot de passe
JIRA-0058,Logiciel de gestion commerciale qui freeze,L'application CRM se fige régulièrement et nécessite un redémarrage forcé.,2025-04-24 11:22:18,Juridique,Applications métier,Gestion commerciale / CRM
JIRA-0236,Impossible d'imprimer en recto-verso,L'option recto-verso n'apparaît plus dans les paramètres d'impression.,2025-04-24 11:22:18,Commercial,Impression & Numérisation,Réglage recto-verso
JIRA-0480,Problème de son lors des visioconférences,Les participants n'entendent pas ma voix lors des appels Teams. Le micro semble ne pas fonctionner.,2025-04-24 11:22:18,Sinistres,Collaboration & Visioconf,Audio visioconférence
JIRA-0051,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-04-25 11:22:18,Service Client,Applications métier,Performance applicative
JIRA-0258,Demande d'installation de logiciel,Besoin d'installer Adobe Acrobat Pro pour la signature électronique des contrats.,2025-04-25 11:22:18,Service Client,Bureautique & Messagerie,Installation logiciel poste
JIRA-0383,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-04-25 11:22:18,Souscription,Bureautique & Messagerie,Lecture PDF / Adobe
JIRA-0387,Demande de transfert de poste téléphonique,Changement de bureau. Besoin de transférer mon numéro de poste vers le bureau 3.12.,2025-04-25 11:22:18,Recouvrement,Téléphonie,Transfert de poste
